The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
-0.346 -0.190 514.983
-0.367 -0.145 521.200
-0.383 -0.098 529.380
-0.392 -0.050 536.566
-0.395 0.000 543.434
-0.392 0.050 550.620
-0.383 0.098 558.800
-0.367 0.145 565.017
-0.346 0.190 571.759
-0.320 0.232 580.101
-0.288 0.270 586.637
-0.252 0.304 593.130
-0.212 0.334 601.390
-0.168 0.358 608.629
-0.122 0.376 615.964
-0.074 0.388 623.019
-0.025 0.394 630.000
0.025 0.394 636.981
0.074 0.388 644.036
0.122 0.376 651.371
0.168 0.358 658.610
0.212 0.334 666.870
0.252 0.304 673.363
0.288 0.270 679.899
0.320 0.232 688.241
0.346 0.190 688.241
Layer: 10
2.739
51
0.289 0.159 147.848
0.267 0.194 139.844
0.240 0.226 133.025
0.210 0.254 127.147
0.177 0.279 118.393
0.140 0.299 111.541
0.102 0.314 104.036
0.062 0.324 96.953
0.021 0.329 90.000
-0.021 0.329 83.047
-0.062 0.324 75.964
-0.102 0.314 68.459
-0.140 0.299 61.607
-0.177 0.279 52.853
-0.210 0.254 46.975
-0.240 0.226 40.156
-0.267 0.194 32.152
-0.289 0.159 25.346
-0.307 0.121 18.435
-0.320 0.082 9.689
-0.327 0.041 4.185
-0.330 0.000 -4.185
-0.327 -0.041 -9.689
-0.320 -0.082 -18.435
-0.307 -0.121 -25.346
-0.289 -0.159 -32.152
-0.267 -0.194 -40.156
-0.240 -0.226 -46.975
-0.210 -0.254 -52.853
-0.177 -0.279 -61.607
-0.140 -0.299 -68.459
-0.102 -0.314 -75.964
-0.062 -0.324 -83.047
-0.021 -0.329 -90.000
0.021 -0.329 -96.953
0.062 -0.324 -104.036
0.102 -0.314 -111.541
0.140 -0.299 -118.393
0.177 -0.279 -127.147
0.210 -0.254 -133.025
0.240 -0.226 -139.844
0.267 -0.194 -147.848
0.289 -0.159 -154.654
0.307 -0.121 -161.565
0.320 -0.082 -170.311
0.327 -0.041 -175.815
0.330 0.000 -184.185
0.327 0.041 -189.689
0.320 0.082 -198.435
0.307 0.121 -205.346
0.289 0.159 -205.346
Layer: 11
3.339
51
0.027 0.433 277.386
0.081 0.426 283.782
0.134 0.413 291.413
0.185 0.393 298.443
0.233 0.367 306.027
0.277 0.335 314.256
0.316 0.297 320.194
0.351 0.255 327.771
0.380 0.209 333.905
0.404 0.160 341.896
0.421 0.108 349.509
0.431 0.054 356.820
0.434 0.000 363.180
0.431 -0.054 370.491
0.421 -0.108 378.104
0.404 -0.160 386.095
0.380 -0.209 392.229
0.351 -0.255 399.806
0.316 -0.297 405.744
0.277 -0.335 413.973
0.233 -0.367 421.557
0.185 -0.393 428.587
0.134 -0.413 436.218
0.081 -0.426 442.614
0.027 -0.433 450.000
-0.027 -0.433 457.386
-0.081 -0.426 463.782
-0.134 -0.413 471.413
-0.185 -0.393 478.443
-0.233 -0.367 486.027
-0.277 -0.335 494.256
-0.316 -0.297 500.194
-0.351 -0.255 507.771
-0.380 -0.209 513.905
-0.404 -0.160 521.896
-0.421 -0.108 529.509
-0.431 -0.054 536.820
-0.434 0.000 543.180
-0.431 0.054 550.491
-0.421 0.108 558.104
-0.404 0.160 566.095
-0.380 0.209 572.229
-0.351 0.255 579.806
-0.316 0.297 585.744
-0.277 0.335 593.973
-0.233 0.367 601.557
