The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 85
25.539
51
0.662 -0.364 32.518
0.611 -0.444 39.417
0.551 -0.517 46.710
0.482 -0.582 53.973
0.405 -0.638 61.004
0.322 -0.684 69.092
0.233 -0.718 75.225
0.142 -0.742 82.801
0.047 -0.754 90.000
-0.047 -0.754 97.199
-0.142 -0.742 104.775
-0.233 -0.718 110.908
-0.322 -0.684 118.996
-0.405 -0.638 126.027
-0.482 -0.582 133.290
-0.551 -0.517 140.583
-0.611 -0.444 147.482
-0.662 -0.364 155.056
-0.702 -0.278 161.565
-0.732 -0.188 169.641
-0.749 -0.095 176.386
-0.755 0.000 183.614
-0.749 0.095 190.359
-0.732 0.188 198.435
-0.702 0.278 204.944
-0.662 0.364 212.518
-0.611 0.444 219.417
-0.551 0.517 226.710
-0.482 0.582 233.973
-0.405 0.638 241.004
-0.322 0.684 249.092
-0.233 0.718 255.225
-0.142 0.742 262.801
-0.047 0.754 270.000
0.047 0.754 277.199
0.142 0.742 284.775
0.233 0.718 290.908
0.322 0.684 298.996
0.405 0.638 306.027
0.482 0.582 313.290
0.551 0.517 320.583
0.611 0.444 327.482
0.662 0.364 335.056
0.702 0.278 341.565
0.732 0.188 349.641
0.749 0.095 356.386
0.755 0.000 363.614
0.749 -0.095 370.359
0.732 -0.188 378.435
0.702 -0.278 384.944
0.662 -0.364 384.944
Layer: 86
25.539
51
0.633 -0.348 205.436
0.672 -0.266 198.034
0.700 -0.180 190.814
0.717 -0.091 183.145
0.722 0.000 176.855
0.717 0.091 169.186
0.700 0.180 161.966
0.672 0.266 154.564
0.633 0.348 147.529
0.584 0.425 140.440
0.527 0.494 133.238
0.460 0.557 125.981
0.387 0.610 119.116
0.308 0.654 111.218
0.223 0.687 104.647
0.135 0.710 96.968
0.045 0.721 90.000
-0.045 0.721 83.032
-0.135 0.710 75.353
-0.223 0.687 68.782
-0.308 0.654 60.884
-0.387 0.610 54.019
-0.460 0.557 46.762
-0.527 0.494 39.560
-0.584 0.425 32.471
-0.633 0.348 25.436
-0.672 0.266 18.034
-0.700 0.180 10.814
-0.717 0.091 3.145
-0.722 0.000 -3.145
-0.717 -0.091 -10.814
-0.700 -0.180 -18.034
-0.672 -0.266 -25.436
-0.633 -0.348 -32.471
-0.584 -0.425 -39.560
-0.527 -0.494 -46.762
-0.460 -0.557 -54.019
-0.387 -0.610 -60.884
-0.308 -0.654 -68.782
-0.223 -0.687 -75.353
-0.135 -0.710 -83.032
-0.045 -0.721 -90.000
0.045 -0.721 -96.968
0.135 -0.710 -104.647
0.223 -0.687 -111.218
0.308 -0.654 -119.116
0.387 -0.610 -125.981
0.460 -0.557 -133.238
0.527 -0.494 -140.440
0.584 -0.425 -147.529
0.633 -0.348 -147.529
seperation layer:
25.539
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 87
26.139
51
-0.140 0.735 263.254
-0.047 0.746 270.000
0.047 0.746 276.746
0.140 0.735 284.775
0.231 0.711 291.346
0.318 0.677 298.996
0.401 0.631 305.893
0.477 0.576 313.264
0.545 0.512 320.194
0.605 0.440 327.995
0.655 0.360 334.799
0.695 0.275 341.952
0.724 0.186 348.930
0.742 0.094 356.348
0.748 0.000 363.652
0.742 -0.094 371.070
0.724 -0.186 378.048
0.695 -0.275 385.201
0.655 -0.360 392.005
0.605 -0.440 399.806
0.545 -0.512 406.736
0.477 -0.576 414.107
0.401 -0.631 421.004
0.318 -0.677 428.654
0.231 -0.711 435.225
0.140 -0.735 443.254
0.047 -0.746 450.000
-0.047 -0.746 456.746
-0.140 -0.735 464.775
-0.231 -0.711 471.346
-0.318 -0.677 478.996
-0.401 -0.631 485.893
-0.477 -0.576 493.264
-0.545 -0.512 500.194
-0.605 -0.440 507.995
-0.655 -0.360 514.799
-0.695 -0.275 521.952
-0.724 -0.186 528.930
-0.742 -0.094 536.348
-0.748 0.000 543.652
-0.742 0.094 551.070
-0.724 0.186 558.048
-0.695 0.275 565.201
-0.655 0.360 572.005
-0.605 0.440 579.806
-0.545 0.512 586.736
-0.477 0.576 594.107
-0.401 0.631 601.004
-0.318 0.677 608.654
-0.231 0.711 615.225
-0.140 0.735 615.225
Layer: 88
26.139
51
-0.134 0.702 75.809
-0.221 0.680 68.318
-0.304 0.647 60.884
-0.383 0.603 54.537
-0.456 0.551 46.353
-0.521 0.489 39.560
-0.578 0.420 32.276
-0.626 0.344 25.710
-0.665 0.263 17.622
-0.692 0.178 10.934
-0.709 0.090 3.814
-0.715 0.000 -3.814
-0.709 -0.090 -10.934
-0.692 -0.178 -17.622
-0.665 -0.263 -25.710
-0.626 -0.344 -32.276
-0.578 -0.420 -39.560
-0.521 -0.489 -46.353
-0.456 -0.551 -54.537
-0.383 -0.603 -60.884
-0.304 -0.647 -68.318
-0.221 -0.680 -75.809
-0.134 -0.702 -82.954
-0.045 -0.713 -90.000
0.045 -0.713 -97.046
0.134 -0.702 -104.191
0.221 -0.680 -111.682
0.304 -0.647 -119.116
0.383 -0.603 -125.463
0.456 -0.551 -133.647
0.521 -0.489 -140.440
0.578 -0.420 -147.724
0.626 -0.344 -154.290
0.665 -0.263 -162.378
0.692 -0.178 -169.066
0.709 -0.090 -176.186
0.715 0.000 -183.814
0.709 0.090 -190.934
0.692 0.178 -197.622
0.665 0.263 -205.710
0.626 0.344 -212.276
0.578 0.420 -219.560
0.521 0.489 -226.353
0.456 0.551 -234.537
0.383 0.603 -240.884
0.304 0.647 -248.318
0.221 0.680 -255.809
0.134 0.702 -262.954
0.045 0.713 -270.000
-0.045 0.713 -277.046
-0.134 0.702 -277.046
seperation layer:
26.139
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 89
26.739
51
-0.599 -0.435 147.339
-0.649 -0.357 155.353
-0.688 -0.272 161.761
-0.717 -0.184 169.418
-0.734 -0.093 176.309
-0.740 0.000 183.691
-0.734 0.093 190.582
-0.717 0.184 198.239
-0.688 0.272 204.647
-0.649 0.357 212.661
-0.599 0.435 219.806
-0.539 0.507 226.762
-0.472 0.570 233.746
-0.397 0.625 241.243
-0.315 0.670 248.429
-0.229 0.704 255.665
-0.139 0.727 262.648
-0.046 0.739 270.000
0.046 0.739 277.352
0.139 0.727 284.335
0.229 0.704 291.571
0.315 0.670 298.757
0.397 0.625 306.254
0.472 0.570 313.238
0.539 0.507 320.194
0.599 0.435 327.339
0.649 0.357 335.353
0.688 0.272 341.761
0.717 0.184 349.418
0.734 0.093 356.309
0.740 0.000 363.691
0.734 -0.093 370.582
0.717 -0.184 378.239
0.688 -0.272 384.647
0.649 -0.357 392.661
0.599 -0.435 399.806
0.539 -0.507 406.762
0.472 -0.570 413.746
0.397 -0.625 421.243
0.315 -0.670 428.429
0.229 -0.704 435.665
0.139 -0.727 442.648
0.046 -0.739 450.000
-0.046 -0.739 457.352
-0.139 -0.727 464.335
-0.229 -0.704 471.571
-0.315 -0.670 478.757
-0.397 -0.625 486.254
-0.472 -0.570 493.238
-0.539 -0.507 500.194
-0.599 -0.435 500.194
Layer: 90
26.739
51
-0.572 -0.416 320.029
-0.515 -0.484 313.625
-0.451 -0.545 305.838
-0.379 -0.597 298.867
-0.301 -0.640 291.084
-0.218 -0.672 284.349
-0.132 -0.694 277.765
-0.044 -0.706 270.000
0.044 -0.706 262.235
0.132 -0.694 255.651
0.218 -0.672 248.916
0.301 -0.640 241.133
0.379 -0.597 234.162
0.451 -0.545 226.375
0.515 -0.484 219.971
0.572 -0.416 212.619
0.620 -0.341 204.550
0.657 -0.260 198.435
0.685 -0.176 190.421
0.701 -0.089 183.857
0.707 0.000 176.143
0.701 0.089 169.579
0.685 0.176 161.565
0.657 0.260 155.450
0.620 0.341 147.381
0.572 0.416 140.029
0.515 0.484 133.625
0.451 0.545 125.838
0.379 0.597 118.867
0.301 0.640 111.084
0.218 0.672 104.349
0.132 0.694 97.765
0.044 0.706 90.000
-0.044 0.706 82.235
-0.132 0.694 75.651
-0.218 0.672 68.916
-0.301 0.640 61.133
-0.379 0.597 54.162
-0.451 0.545 46.375
-0.515 0.484 39.971
-0.572 0.416 32.619
-0.620 0.341 24.550
-0.657 0.260 18.435
-0.685 0.176 10.421
-0.701 0.089 3.857
-0.707 0.000 -3.857
-0.701 -0.089 -10.421
-0.685 -0.176 -18.435
-0.657 -0.260 -24.550
-0.620 -0.341 -32.619
-0.572 -0.416 -32.619
seperation layer:
26.739
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 91
27.339
51
0.642 -0.353 32.137
0.593 -0.431 40.126
0.534 -0.501 46.762
0.467 -0.564 54.246
0.392 -0.618 60.642
0.312 -0.663 68.429
0.226 -0.697 76.115
0.137 -0.719 82.488
0.046 -0.731 90.000
-0.046 -0.731 97.512
-0.137 -0.719 103.885
-0.226 -0.697 111.571
-0.312 -0.663 119.358
-0.392 -0.618 125.754
-0.467 -0.564 133.238
-0.534 -0.501 139.874
-0.593 -0.431 147.863
-0.642 -0.353 154.832
-0.681 -0.270 162.350
-0.709 -0.182 168.690
-0.727 -0.092 176.889
-0.732 0.000 183.111
-0.727 0.092 191.310
-0.709 0.182 197.650
-0.681 0.270 205.168
-0.642 0.353 212.137
-0.593 0.431 220.126
-0.534 0.501 226.762
-0.467 0.564 234.246
-0.392 0.618 240.642
-0.312 0.663 248.429
-0.226 0.697 256.115
-0.137 0.719 262.488
-0.046 0.731 270.000
0.046 0.731 277.512
0.137 0.719 283.885
0.226 0.697 291.571
0.312 0.663 299.358
0.392 0.618 305.754
0.467 0.564 313.238
0.534 0.501 319.874
0.593 0.431 327.863
0.642 0.353 334.832
0.681 0.270 342.350
0.709 0.182 348.690
0.727 0.092 356.889
0.732 0.000 363.111
0.727 -0.092 371.310
0.709 -0.182 377.650
0.681 -0.270 385.168
0.642 -0.353 385.168
Layer: 92
27.339
51
0.611 -0.336 205.688
0.649 -0.257 198.020
0.676 -0.174 190.421
0.692 -0.087 183.945
0.698 0.000 176.055
0.692 0.087 169.579
0.676 0.174 161.980
0.649 0.257 154.312
0.611 0.336 148.134
0.565 0.410 140.528
0.509 0.478 133.152
0.445 0.538 125.690
0.374 0.589 118.610
0.297 0.631 112.166
0.216 0.664 103.878
0.131 0.685 97.206
0.044 0.696 90.000
-0.044 0.696 82.794
-0.131 0.685 76.122
-0.216 0.664 67.834
-0.297 0.631 61.390
-0.374 0.589 54.310
-0.445 0.538 46.848
-0.509 0.478 39.472
-0.565 0.410 31.866
-0.611 0.336 25.688
-0.649 0.257 18.020
-0.676 0.174 10.421
-0.692 0.087 3.945
-0.698 0.000 -3.945
-0.692 -0.087 -10.421
-0.676 -0.174 -18.020
-0.649 -0.257 -25.688
-0.611 -0.336 -31.866
-0.565 -0.410 -39.472
-0.509 -0.478 -46.848
-0.445 -0.538 -54.310
-0.374 -0.589 -61.390
-0.297 -0.631 -67.834
-0.216 -0.664 -76.122
-0.131 -0.685 -82.794
-0.044 -0.696 -90.000
0.044 -0.696 -97.206
0.131 -0.685 -103.878
0.216 -0.664 -112.166
0.297 -0.631 -118.610
0.374 -0.589 -125.690
0.445 -0.538 -133.152
0.509 -0.478 -140.528
0.565 -0.410 -148.134
0.611 -0.336 -148.134
seperation layer:
27.339
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 93
27.939
51
-0.135 0.709 263.032
-0.045 0.720 270.000
0.045 0.720 276.968
0.135 0.709 284.647
0.223 0.686 291.448
0.307 0.653 298.811
0.387 0.609 305.981
0.460 0.556 313.210
0.526 0.494 320.356
0.584 0.424 327.724
0.632 0.348 334.564
0.671 0.266 342.160
0.699 0.179 349.186
0.716 0.090 356.820
0.721 0.000 363.180
0.716 -0.090 370.814
0.699 -0.179 377.840
0.671 -0.266 385.436
0.632 -0.348 392.276
0.584 -0.424 399.644
0.526 -0.494 406.790
0.460 -0.556 414.019
0.387 -0.609 421.189
0.307 -0.653 428.552
0.223 -0.686 435.353
0.135 -0.709 443.032
0.045 -0.720 450.000
-0.045 -0.720 456.968
-0.135 -0.709 464.647
-0.223 -0.686 471.448
-0.307 -0.653 478.811
-0.387 -0.609 485.981
-0.460 -0.556 493.210
-0.526 -0.494 500.356
-0.584 -0.424 507.724
-0.632 -0.348 514.564
-0.671 -0.266 522.160
-0.699 -0.179 529.186
-0.716 -0.090 536.820
-0.721 0.000 543.180
-0.716 0.090 550.814
-0.699 0.179 557.840
-0.671 0.266 565.436
-0.632 0.348 572.276
-0.584 0.424 579.644
-0.526 0.494 586.790
-0.460 0.556 594.019
-0.387 0.609 601.189
-0.307 0.653 608.552
-0.223 0.686 615.353
-0.135 0.709 615.353
Layer: 94
27.939
51
-0.129 0.675 75.155
-0.212 0.653 68.199
-0.292 0.621 61.654
-0.368 0.580 53.924
-0.438 0.529 46.878
-0.501 0.470 39.806
-0.556 0.404 32.217
-0.602 0.331 24.775
-0.638 0.253 18.225
-0.665 0.171 10.660
-0.681 0.086 3.991
-0.687 0.000 -3.991
-0.681 -0.086 -10.660
-0.665 -0.171 -18.225
-0.638 -0.253 -24.775
-0.602 -0.331 -32.217
-0.556 -0.404 -39.806
-0.501 -0.470 -46.878
-0.438 -0.529 -53.924
-0.368 -0.580 -61.654
-0.292 -0.621 -68.199
-0.212 -0.653 -75.155
-0.129 -0.675 -83.367
-0.043 -0.685 -90.000
0.043 -0.685 -96.633
0.129 -0.675 -104.845
0.212 -0.653 -111.801
0.292 -0.621 -118.346
0.368 -0.580 -126.076
0.438 -0.529 -133.122
0.501 -0.470 -140.194
0.556 -0.404 -147.783
0.602 -0.331 -155.225
0.638 -0.253 -161.775
0.665 -0.171 -169.340
0.681 -0.086 -176.009
0.687 0.000 -183.991
0.681 0.086 -190.660
0.665 0.171 -198.225
0.638 0.253 -204.775
0.602 0.331 -212.217
0.556 0.404 -219.806
0.501 0.470 -226.878
0.438 0.529 -233.924
0.368 0.580 -241.654
0.292 0.621 -248.199
0.212 0.653 -255.155
0.129 0.675 -263.367
0.043 0.685 -270.000
-0.043 0.685 -276.633
-0.129 0.675 -276.633
seperation layer:
27.939
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
